[rank0]:[titan] 2026-06-12 00:39:47,355 - root - INFO - step: 87  loss:  2.85531  grad_norm:  2.3438  memory:  1.33GiB(6.04%)  tps: 3,562  tflops: 3.74  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:47,644 - root - INFO - step: 88  loss:  2.96825  grad_norm:  2.7969  memory:  1.33GiB(6.04%)  tps: 3,548  tflops: 3.72  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:47,934 - root - INFO - step: 89  loss:  2.85688  grad_norm:  2.3281  memory:  1.33GiB(6.04%)  tps: 3,526  tflops: 3.70  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:48,222 - root - INFO - step: 90  loss:  2.86399  grad_norm:  1.9219  memory:  1.33GiB(6.04%)  tps: 3,561  tflops: 3.73  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:48,510 - root - INFO - step: 91  loss:  2.88859  grad_norm:  1.9922  memory:  1.33GiB(6.04%)  tps: 3,560  tflops: 3.73  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:48,799 - root - INFO - step: 92  loss:  2.89896  grad_norm:  2.5781  memory:  1.33GiB(6.04%)  tps: 3,550  tflops: 3.72  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:49,085 - root - INFO - step: 93  loss:  2.91988  grad_norm:  1.8750  memory:  1.33GiB(6.04%)  tps: 3,577  tflops: 3.75  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:49,373 - root - INFO - step: 94  loss:  2.91992  grad_norm:  2.1875  memory:  1.33GiB(6.04%)  tps: 3,566  tflops: 3.74  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:49,660 - root - INFO - step: 95  loss:  2.91961  grad_norm:  1.8828  memory:  1.33GiB(6.04%)  tps: 3,565  tflops: 3.74  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:49,956 - root - INFO - step: 96  loss:  2.94320  grad_norm:  2.0625  memory:  1.33GiB(6.04%)  tps: 3,462  tflops: 3.63  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:50,243 - root - INFO - step: 97  loss:  2.85625  grad_norm:  1.5859  memory:  1.33GiB(6.04%)  tps: 3,566  tflops: 3.74  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:50,531 - root - INFO - step: 98  loss:  2.88285  grad_norm:  2.0625  memory:  1.33GiB(6.04%)  tps: 3,567  tflops: 3.74  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:50,818 - root - INFO - step: 99  loss:  2.78300  grad_norm:  1.4766  memory:  1.33GiB(6.04%)  tps: 3,565  tflops: 3.74  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:51,123 - root - INFO - step: 100  loss:  2.66239  grad_norm:  2.3438  memory:  1.33GiB(6.04%)  tps: 3,363  tflops: 3.53  mfu: N/A
